image,true_class,predicted_class,confidence,second_prediction,third_prediction,full_path
Brown_Swiss_7.jpg,Brown_Swiss,Toda,0.2458,Brown_Swiss (0.1726),Jersey (0.1701),./data/test\Brown_Swiss\Brown_Swiss_7.jpg
Brown_Swiss_70.jpg,Brown_Swiss,Red_Dane,0.1493,Jersey (0.1230),Vechur (0.0811),./data/test\Brown_Swiss\Brown_Swiss_70.jpg
Brown_Swiss_86.jpg,Brown_Swiss,Kankrej,0.066,Brown_Swiss (0.0595),Hariana (0.0552),./data/test\Brown_Swiss\Brown_Swiss_86.jpg
Brown_Swiss_88.jpg,Brown_Swiss,Jersey,0.1529,Brown_Swiss (0.1517),Krishna_Valley (0.1156),./data/test\Brown_Swiss\Brown_Swiss_88.jpg
Brown_Swiss_89.jpg,Brown_Swiss,Ayrshire,0.3442,Guernsey (0.2857),Red_Dane (0.0887),./data/test\Brown_Swiss\Brown_Swiss_89.jpg
00000007.jpg,Dangi,Bargur,0.6045,Rathi (0.1201),Nimari (0.0806),./data/test\Dangi\00000007.jpg
00000045.jpeg,Dangi,Pulikulam,0.1511,Kangayam (0.0892),Alambadi (0.0654),./data/test\Dangi\00000045.jpeg
00000046.jpg,Dangi,Brown_Swiss,0.0878,Ayrshire (0.0681),Dangi (0.0593),./data/test\Dangi\00000046.jpg
00000055.jpg,Dangi,Kangayam,0.0687,Jaffrabadi (0.0562),Amritmahal (0.0562),./data/test\Dangi\00000055.jpg
00000151.jpg,Dangi,Bargur,0.419,Ayrshire (0.1951),Dangi (0.1047),./data/test\Dangi\00000151.jpg
Deoni_18.png,Deoni,Tharparkar,0.2615,Ongole (0.1743),Hariana (0.1711),./data/test\Deoni\Deoni_18.png
Deoni_2.JPG,Deoni,Khillari,0.1071,Ongole (0.1027),Nagori (0.0957),./data/test\Deoni\Deoni_2.JPG
Deoni_46.jpg,Deoni,Kankrej,0.0554,Jaffrabadi (0.0523),Nagori (0.0516),./data/test\Deoni\Deoni_46.jpg
Deoni_47.jpg,Deoni,Tharparkar,0.1286,Khillari (0.1110),Hariana (0.0727),./data/test\Deoni\Deoni_47.jpg
Deoni_56.jpg,Deoni,Kankrej,0.0851,Ongole (0.0701),Hallikar (0.0610),./data/test\Deoni\Deoni_56.jpg
Deoni_6.jpg,Deoni,Tharparkar,0.1926,Ongole (0.1911),Deoni (0.1704),./data/test\Deoni\Deoni_6.jpg
Deoni_64.png,Deoni,Dangi,0.2565,Holstein_Friesian (0.1005),Alambadi (0.0955),./data/test\Deoni\Deoni_64.png
Deoni_66.jpg,Deoni,Nagori,0.0861,Hallikar (0.0760),Alambadi (0.0692),./data/test\Deoni\Deoni_66.jpg
Deoni_77.jpg,Deoni,Ongole,0.1387,Deoni (0.0943),Khillari (0.0784),./data/test\Deoni\Deoni_77.jpg
Deoni_83.png,Deoni,Khillari,0.0567,Hallikar (0.0539),Alambadi (0.0498),./data/test\Deoni\Deoni_83.png
Deoni_87.jpg,Deoni,Kankrej,0.1187,Hallikar (0.1111),Ongole (0.0821),./data/test\Deoni\Deoni_87.jpg
Deoni_91.jpg,Deoni,Umblachery,0.0461,Kangayam (0.0441),Krishna_Valley (0.0435),./data/test\Deoni\Deoni_91.jpg
Deoni_92.jpg,Deoni,Dangi,0.3312,Hallikar (0.0791),Deoni (0.0635),./data/test\Deoni\Deoni_92.jpg
Gir_130.jpg,Gir,Jersey,0.161,Gir (0.0994),Red_Dane (0.0898),./data/test\Gir\Gir_130.jpg
Gir_133.jpg,Gir,Sahiwal,0.13,Gir (0.1265),Vechur (0.0852),./data/test\Gir\Gir_133.jpg
Gir_136.jpg,Gir,Rathi,0.5982,Bargur (0.1190),Gir (0.0714),./data/test\Gir\Gir_136.jpg
Gir_157.jpg,Gir,Sahiwal,0.1438,Gir (0.1075),Vechur (0.0829),./data/test\Gir\Gir_157.jpg
Gir_165.jpg,Gir,Sahiwal,0.1371,Gir (0.1218),Vechur (0.0950),./data/test\Gir\Gir_165.jpg
Gir_169.jpg,Gir,Sahiwal,0.1102,Red_Sindhi (0.1101),Nimari (0.1011),./data/test\Gir\Gir_169.jpg
Gir_170.jpg,Gir,Bargur,0.2018,Gir (0.1455),Vechur (0.1110),./data/test\Gir\Gir_170.jpg
Gir_206.jpg,Gir,Red_Dane,0.0787,Vechur (0.0682),Nimari (0.0672),./data/test\Gir\Gir_206.jpg
Gir_207.png,Gir,Sahiwal,0.0714,Gir (0.0685),Malnad_gidda (0.0445),./data/test\Gir\Gir_207.png
Gir_209.jpg,Gir,Jersey,0.08,Brown_Swiss (0.0784),Guernsey (0.0736),./data/test\Gir\Gir_209.jpg
Gir_221.jpg,Gir,Rathi,0.2704,Bargur (0.1154),Dangi (0.0835),./data/test\Gir\Gir_221.jpg
Gir_249.jpg,Gir,Krishna_Valley,0.1065,Ongole (0.0850),Khillari (0.0717),./data/test\Gir\Gir_249.jpg
Gir_253.jpg,Gir,Jersey,0.2061,Brown_Swiss (0.1673),Gir (0.0830),./data/test\Gir\Gir_253.jpg
Gir_254.jpg,Gir,Deoni,0.1429,Tharparkar (0.1178),Ongole (0.0930),./data/test\Gir\Gir_254.jpg
Gir_257.jpg,Gir,Sahiwal,0.2114,Gir (0.1162),Red_Sindhi (0.0791),./data/test\Gir\Gir_257.jpg
Gir_26.jpg,Gir,Vechur,0.1314,Gir (0.1125),Malnad_gidda (0.0759),./data/test\Gir\Gir_26.jpg
Gir_275.jpg,Gir,Rathi,0.2211,Krishna_Valley (0.0887),Ayrshire (0.0738),./data/test\Gir\Gir_275.jpg
Gir_276.jpg,Gir,Rathi,0.1257,Krishna_Valley (0.1032),Brown_Swiss (0.0747),./data/test\Gir\Gir_276.jpg
Gir_277.jpg,Gir,Rathi,0.4185,Bargur (0.3225),Gir (0.0457),./data/test\Gir\Gir_277.jpg
Gir_278.jpg,Gir,Sahiwal,0.1057,Gir (0.0888),Vechur (0.0739),./data/test\Gir\Gir_278.jpg
Gir_279.jpg,Gir,Dangi,0.185,Deoni (0.0818),Kankrej (0.0771),./data/test\Gir\Gir_279.jpg
Gir_29.jpg,Gir,Vechur,0.1401,Sahiwal (0.0999),Gir (0.0867),./data/test\Gir\Gir_29.jpg
Gir_290.jpg,Gir,Jersey,0.11,Guernsey (0.0912),Gir (0.0879),./data/test\Gir\Gir_290.jpg
Gir_319.jpg,Gir,Sahiwal,0.161,Gir (0.1218),Vechur (0.0884),./data/test\Gir\Gir_319.jpg
Gir_323.jpg,Gir,Sahiwal,0.1484,Gir (0.1042),Vechur (0.0581),./data/test\Gir\Gir_323.jpg
Gir_332.png,Gir,Sahiwal,0.1236,Gir (0.1038),Red_Sindhi (0.0654),./data/test\Gir\Gir_332.png
Gir_347.jpg,Gir,Sahiwal,0.2298,Gir (0.1396),Red_Sindhi (0.1306),./data/test\Gir\Gir_347.jpg
Gir_351.png,Gir,Sahiwal,0.1005,Vechur (0.0988),Red_Sindhi (0.0646),./data/test\Gir\Gir_351.png
Gir_355.png,Gir,Sahiwal,0.1007,Vechur (0.0794),Gir (0.0571),./data/test\Gir\Gir_355.png
Gir_365.jpg,Gir,Bargur,0.0791,Gir (0.0668),Pulikulam (0.0595),./data/test\Gir\Gir_365.jpg
Gir_374.png,Gir,Sahiwal,0.0527,Gir (0.0492),Vechur (0.0488),./data/test\Gir\Gir_374.png
Gir_5.jPG,Gir,Vechur,0.2048,Gir (0.1902),Sahiwal (0.1419),./data/test\Gir\Gir_5.jPG
Gir_69.jpg,Gir,Sahiwal,0.2102,Gir (0.1403),Vechur (0.0839),./data/test\Gir\Gir_69.jpg
Gir_75.png,Gir,Sahiwal,0.1208,Gir (0.1050),Vechur (0.0577),./data/test\Gir\Gir_75.png
Gir_86.jpg,Gir,Malnad_gidda,0.1131,Sahiwal (0.1057),Vechur (0.0865),./data/test\Gir\Gir_86.jpg
Gir_92.png,Gir,Vechur,0.0758,Red_Sindhi (0.0703),Gir (0.0571),./data/test\Gir\Gir_92.png
Guernsey_106.jpg,Guernsey,Jersey,0.2135,Guernsey (0.1678),Red_Dane (0.1083),./data/test\Guernsey\Guernsey_106.jpg
Guernsey_11.jpg,Guernsey,Ayrshire,0.6078,Guernsey (0.2185),Red_Dane (0.0484),./data/test\Guernsey\Guernsey_11.jpg
Guernsey_40.jpg,Guernsey,Ayrshire,0.3171,Guernsey (0.2682),Jersey (0.1470),./data/test\Guernsey\Guernsey_40.jpg
Guernsey_46.jpg,Guernsey,Jersey,0.2627,Guernsey (0.2314),Brown_Swiss (0.1250),./data/test\Guernsey\Guernsey_46.jpg
Guernsey_69.jpg,Guernsey,Jersey,0.1201,Guernsey (0.1150),Brown_Swiss (0.0949),./data/test\Guernsey\Guernsey_69.jpg
Guernsey_77.jpg,Guernsey,Jersey,0.2936,Guernsey (0.1948),Ayrshire (0.1414),./data/test\Guernsey\Guernsey_77.jpg
Guernsey_78.jpg,Guernsey,Jersey,0.1852,Red_Dane (0.1250),Guernsey (0.0996),./data/test\Guernsey\Guernsey_78.jpg
Guernsey_88.jpg,Guernsey,Ayrshire,0.4846,Guernsey (0.2390),Red_Dane (0.0659),./data/test\Guernsey\Guernsey_88.jpg
Hallikar_10.jpg,Hallikar,Brown_Swiss,0.1026,Krishna_Valley (0.1004),Kankrej (0.0687),./data/test\Hallikar\Hallikar_10.jpg
Hallikar_102.jpg,Hallikar,Kangayam,0.1056,Hallikar (0.0953),Amritmahal (0.0896),./data/test\Hallikar\Hallikar_102.jpg
Hallikar_111.jpg,Hallikar,Brown_Swiss,0.0751,Kankrej (0.0672),Kenkatha (0.0635),./data/test\Hallikar\Hallikar_111.jpg
Hallikar_115.jpg,Hallikar,Kankrej,0.121,Hallikar (0.0956),Ongole (0.0774),./data/test\Hallikar\Hallikar_115.jpg
Hallikar_116.jpg,Hallikar,Kankrej,0.1098,Amritmahal (0.0813),Pulikulam (0.0519),./data/test\Hallikar\Hallikar_116.jpg
Hallikar_126.jpg,Hallikar,Vechur,0.0799,Malnad_gidda (0.0593),Red_Dane (0.0575),./data/test\Hallikar\Hallikar_126.jpg
Hallikar_129.jpg,Hallikar,Tharparkar,0.121,Khillari (0.1080),Hariana (0.1009),./data/test\Hallikar\Hallikar_129.jpg
Hallikar_130.jpg,Hallikar,Hariana,0.0835,Ongole (0.0697),Tharparkar (0.0588),./data/test\Hallikar\Hallikar_130.jpg
Hallikar_139.jpg,Hallikar,Kankrej,0.1108,Ongole (0.1083),Deoni (0.1047),./data/test\Hallikar\Hallikar_139.jpg
Hallikar_146.jpg,Hallikar,Brown_Swiss,0.204,Krishna_Valley (0.0974),Toda (0.0841),./data/test\Hallikar\Hallikar_146.jpg
Hallikar_148.jpg,Hallikar,Amritmahal,0.0762,Alambadi (0.0693),Kankrej (0.0673),./data/test\Hallikar\Hallikar_148.jpg
Hallikar_151.jpg,Hallikar,Khillari,0.1454,Ongole (0.0941),Tharparkar (0.0867),./data/test\Hallikar\Hallikar_151.jpg
Hallikar_169.png,Hallikar,Krishna_Valley,0.1091,Hallikar (0.0983),Brown_Swiss (0.0784),./data/test\Hallikar\Hallikar_169.png
Hallikar_180.jpeg,Hallikar,Amritmahal,0.1032,Hallikar (0.0961),Kankrej (0.0919),./data/test\Hallikar\Hallikar_180.jpeg
Hallikar_19.jpg,Hallikar,Tharparkar,0.103,Khillari (0.0781),Ongole (0.0723),./data/test\Hallikar\Hallikar_19.jpg
Hallikar_30.jpg,Hallikar,Krishna_Valley,0.1683,Khillari (0.0687),Ongole (0.0616),./data/test\Hallikar\Hallikar_30.jpg
Hallikar_46.jpg,Hallikar,Tharparkar,0.1822,Khillari (0.1059),Hallikar (0.1031),./data/test\Hallikar\Hallikar_46.jpg
Hallikar_47.jpg,Hallikar,Krishna_Valley,0.0848,Tharparkar (0.0764),Ongole (0.0588),./data/test\Hallikar\Hallikar_47.jpg
Hallikar_60.png,Hallikar,Pulikulam,0.0886,Kangayam (0.0743),Kankrej (0.0698),./data/test\Hallikar\Hallikar_60.png
Hallikar_7.jpg,Hallikar,Kangayam,0.0943,Pulikulam (0.0701),Alambadi (0.0666),./data/test\Hallikar\Hallikar_7.jpg
Hariana_109.jpg,Hariana,Tharparkar,0.1752,Krishna_Valley (0.0981),Ongole (0.0737),./data/test\Hariana\Hariana_109.jpg
Hariana_113.jpg,Hariana,Tharparkar,0.084,Brown_Swiss (0.0836),Krishna_Valley (0.0583),./data/test\Hariana\Hariana_113.jpg
Hariana_118.jpg,Hariana,Tharparkar,0.1573,Hariana (0.1373),Khillari (0.1199),./data/test\Hariana\Hariana_118.jpg
Hariana_15.png,Hariana,Tharparkar,0.1506,Hariana (0.1438),Ongole (0.1062),./data/test\Hariana\Hariana_15.png
Hariana_3.JPG,Hariana,Nagori,0.0995,Tharparkar (0.0770),Hallikar (0.0746),./data/test\Hariana\Hariana_3.JPG
Hariana_41.png,Hariana,Khillari,0.096,Deoni (0.0689),Hallikar (0.0613),./data/test\Hariana\Hariana_41.png
Hariana_45.jpg,Hariana,Tharparkar,0.1761,Krishna_Valley (0.0936),Hariana (0.0879),./data/test\Hariana\Hariana_45.jpg
Hariana_55.jpg,Hariana,Kankrej,0.1587,Hallikar (0.0798),Kangayam (0.0731),./data/test\Hariana\Hariana_55.jpg
Hariana_58.jpg,Hariana,Tharparkar,0.1741,Ongole (0.1482),Hariana (0.0932),./data/test\Hariana\Hariana_58.jpg
Hariana_6.jpg,Hariana,Hallikar,0.0787,Hariana (0.0615),Ongole (0.0594),./data/test\Hariana\Hariana_6.jpg
Hariana_61.jpg,Hariana,Tharparkar,0.1235,Hariana (0.1174),Ongole (0.1121),./data/test\Hariana\Hariana_61.jpg
Hariana_67.jpg,Hariana,Kankrej,0.128,Nagori (0.0676),Hallikar (0.0624),./data/test\Hariana\Hariana_67.jpg
Hariana_74.jpg,Hariana,Ongole,0.0818,Deoni (0.0741),Tharparkar (0.0697),./data/test\Hariana\Hariana_74.jpg
Hariana_77.jpg,Hariana,Tharparkar,0.1636,Ongole (0.1487),Hariana (0.1187),./data/test\Hariana\Hariana_77.jpg
Hariana_79.jpg,Hariana,Krishna_Valley,0.1064,Tharparkar (0.0712),Hallikar (0.0638),./data/test\Hariana\Hariana_79.jpg
Hariana_9.jpg,Hariana,Tharparkar,0.1938,Khillari (0.1120),Ongole (0.1092),./data/test\Hariana\Hariana_9.jpg
Hariana_94.png,Hariana,Khillari,0.1132,Ongole (0.0989),Hallikar (0.0897),./data/test\Hariana\Hariana_94.png
Holstein_Friesian_107.jpg,Holstein_Friesian,Ayrshire,0.0865,Holstein_Friesian (0.0861),Guernsey (0.0659),./data/test\Holstein_Friesian\Holstein_Friesian_107.jpg
Holstein_Friesian_231.jpg,Holstein_Friesian,Toda,0.0821,Holstein_Friesian (0.0663),Ayrshire (0.0554),./data/test\Holstein_Friesian\Holstein_Friesian_231.jpg
Holstein_Friesian_238.jpg,Holstein_Friesian,Ayrshire,0.3015,Guernsey (0.1708),Jersey (0.1160),./data/test\Holstein_Friesian\Holstein_Friesian_238.jpg
Holstein_Friesian_294.jpg,Holstein_Friesian,Jersey,0.1024,Holstein_Friesian (0.0554),Toda (0.0548),./data/test\Holstein_Friesian\Holstein_Friesian_294.jpg
Holstein_Friesian_305.jpg,Holstein_Friesian,Ayrshire,0.0918,Jersey (0.0641),Brown_Swiss (0.0527),./data/test\Holstein_Friesian\Holstein_Friesian_305.jpg
Holstein_Friesian_50.jpg,Holstein_Friesian,Brown_Swiss,0.1603,Krishna_Valley (0.1143),Guernsey (0.0968),./data/test\Holstein_Friesian\Holstein_Friesian_50.jpg
Holstein_Friesian_59.jpg,Holstein_Friesian,Jersey,0.2966,Guernsey (0.1176),Red_Dane (0.1024),./data/test\Holstein_Friesian\Holstein_Friesian_59.jpg
still_BLF2171_BLF2171_2.jpg,Holstein_Friesian,Malnad_gidda,0.07,Murrah (0.0487),Banni (0.0484),./data/test\Holstein_Friesian\still_BLF2171_BLF2171_2.jpg
still_BLF2514_BLF2514_2.jpg,Holstein_Friesian,Sahiwal,0.0709,Red_Sindhi (0.0528),Vechur (0.0419),./data/test\Holstein_Friesian\still_BLF2514_BLF2514_2.jpg
still_BLF2515_BLF2515_3.jpg,Holstein_Friesian,Banni,0.0714,Nili_Ravi (0.0642),Murrah (0.0620),./data/test\Holstein_Friesian\still_BLF2515_BLF2515_3.jpg
still_BLF2519_BLF2519_0.jpg,Holstein_Friesian,Sahiwal,0.1105,Red_Sindhi (0.0742),Vechur (0.0622),./data/test\Holstein_Friesian\still_BLF2519_BLF2519_0.jpg
still_BLF2520_BLF2520_3.jpg,Holstein_Friesian,Sahiwal,0.1111,Red_Sindhi (0.0931),Gir (0.0804),./data/test\Holstein_Friesian\still_BLF2520_BLF2520_3.jpg
